country,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iceland,1.107,1.203,1.212,1.148,1.113,1.162,1.189,1.148,1.192
Denmark,1.238,1.263,1.341,1.289,1.239,1.207,1.193,1.15,1.246
Austria,1.291,1.24,1.29,1.337,1.328,1.25,1.2,1.198,1.278
New Zealand,1.19,1.227,1.188,1.279,1.239,1.237,1.236,1.221,1.287
Portugal,1.385,1.426,1.366,1.453,1.47,1.467,1.425,1.344,1.356
Czech Republic,1.435,1.43,1.36,1.32,1.396,1.404,1.381,1.341,1.36
Switzerland,1.234,1.349,1.424,1.421,1.349,1.272,1.258,1.275,1.37
Canada,1.264,1.324,1.392,1.355,1.317,1.306,1.306,1.287,1.388
Japan,1.23,1.243,1.247,1.287,1.326,1.293,1.316,1.323,1.395
Slovenia,1.37,1.343,1.358,1.358,1.33,1.374,1.398,1.378,1.408
Finland,1.273,1.297,1.352,1.352,1.348,1.297,1.297,1.277,1.429
Ireland,1.31,1.393,1.337,1.37,1.328,1.37,1.384,1.354,1.433
Bhutan,1.44,1.722,1.665,1.693,1.481,1.487,1.422,1.416,1.445
Sweden,1.282,1.253,1.354,1.401,1.419,1.319,1.381,1.36,1.461
Australia,1.421,1.44,1.467,1.455,1.494,1.438,1.414,1.329,1.465
Germany,1.406,1.443,1.398,1.416,1.424,1.431,1.423,1.379,1.486
Norway,1.288,1.324,1.322,1.356,1.48,1.359,1.371,1.393,1.5
Belgium,1.368,1.365,1.4,1.413,1.376,1.339,1.354,1.365,1.528
Hungary,1.452,1.574,1.495,1.495,1.476,1.52,1.482,1.463,1.534
Singapore,1.465,1.439,1.624,1.585,1.521,1.438,1.545,1.49,1.535
Netherlands,1.555,1.609,1.61,1.628,1.606,1.508,1.475,1.432,1.541
Poland,1.61,1.597,1.618,1.545,1.524,1.53,1.532,1.43,1.557
Mauritius,-1,-1,-1,-1,1.487,1.497,1.544,1.503,1.559
Slovakia,1.533,1.532,1.536,1.576,1.59,1.622,1.467,1.478,1.603
Spain,1.55,1.64,1.588,1.641,1.548,1.563,1.548,1.451,1.604
Croatia,1.76,1.669,1.707,1.699,1.648,1.571,1.548,1.55,1.633
Chile,1.431,1.468,1.616,1.71,1.616,1.589,1.591,1.563,1.635
Botswana,1.65,1.634,1.641,1.695,1.621,1.598,1.678,1.597,1.639
Bulgaria,1.72,1.738,1.785,1.845,1.699,1.663,1.637,1.607,1.646
Malaysia,1.517,1.52,1.539,1.485,1.59,1.574,1.659,1.561,1.648
Romania,1.537,1.58,1.749,1.742,1.627,1.584,1.677,1.542,1.649
Latvia,1.7,1.774,1.827,1.793,1.774,1.772,1.745,1.695,1.68
Costa Rica,1.57,1.595,1.59,1.681,1.659,1.755,1.755,1.654,1.699
Qatar,1.561,1.357,1.394,1.398,1.395,1.48,1.491,1.568,1.716
Uruguay,1.524,1.573,1.568,1.521,1.628,1.528,1.565,1.721,1.726
Estonia,1.65,1.72,1.751,1.798,1.715,1.71,1.635,1.677,1.732
Lithuania,1.67,1.675,1.713,1.76,1.741,1.784,1.797,1.674,1.735
Madagascar,1.63,1.886,2.019,2.239,2.124,2.074,1.942,1.911,1.763
Italy,1.62,1.693,1.701,1.775,1.69,1.663,1.675,1.669,1.774
Zambia,1.76,1.824,1.813,1.833,1.83,1.832,1.791,1.846,1.783
Taiwan,1.66,1.644,1.664,1.638,1.602,1.538,1.558,1.657,1.787
Indonesia,1.86,1.843,1.946,1.979,1.913,1.879,1.853,1.768,1.799
Sierra Leone,-1,-1,1.818,1.904,1.855,1.904,1.942,1.864,1.805
Ghana,1.77,1.795,1.781,1.752,1.807,1.899,1.902,1.84,1.809
Malawi,1.84,1.776,1.813,1.74,1.894,1.984,1.995,1.814,1.817
France,1.75,1.779,1.636,1.697,1.71,1.863,1.808,1.742,1.829
United Kingdom,1.74,1.71,1.631,1.631,1.609,1.787,1.798,1.685,1.83
Serbia,2.02,1.906,2.071,2.071,1.92,1.912,1.849,1.768,1.834
Panama,1.68,1.862,1.878,1.812,1.899,1.893,1.877,1.903,1.837
Mongolia,2.06,2.06,2.101,1.88,1.884,1.921,1.778,1.706,1.838
Kuwait,1.67,1.691,1.693,1.667,1.792,1.705,1.679,1.626,1.842
Laos,1.77,1.767,1.661,1.687,1.662,1.724,1.723,1.7,1.852
South Korea,1.66,1.716,1.715,1.829,1.734,1.822,1.849,1.701,1.858
Albania,1.91,1.89,1.925,1.912,1.927,1.961,1.939,1.821,1.867
Namibia,1.82,1.837,1.864,1.85,1.804,1.807,1.808,1.784,1.873
Timor-Leste,-1,-1,-1,-1,-1,1.854,1.947,1.86,1.879
Montenegro,-1,2.005,2.06,2.113,2.006,1.976,1.86,1.854,1.884
Tanzania (United Republic of),1.79,1.782,1.832,1.858,1.873,1.887,1.889,1.903,1.899
Viet Nam,1.73,1.764,1.691,1.67,1.641,1.772,1.792,1.848,1.906
Bosnia and Herzegovina,1.9,1.735,1.873,1.893,1.923,1.967,1.902,1.839,1.915
United Arab Emirates,1.557,1.619,1.739,1.69,1.785,1.679,1.748,1.805,1.931
Equatorial Guinea,1.9,1.808,1.948,2.041,2.039,2.072,2.079,1.987,1.94
Lesotho,-1,-1,-1,-1,1.864,1.84,1.839,1.891,1.941
Tunisia,1.66,1.686,1.678,1.765,1.955,2.005,2.001,1.952,1.949
Moldova (Republic of),2.0,1.965,1.938,1.892,1.927,1.984,1.971,1.942,1.953
Togo,-1,-1,-1,-1,-1,1.954,2.003,1.944,1.954
