Countries,Defence_Materiel,Civilian_Arms,Total
South Africa,30871242,1627752,32498994
Namibia,28877,207277,236154
South Sudan,18980,0,18980
Eritrea,0,0,0
Ethiopia,0,0,0
Kenya,324217,0,324217
Madagascar,0,0,0
Mauritius,0,19691,19691
Somalia,228057,0,228057
Uganda,0,0,0
Zambia,0,39649,39649
Zimbabwe,0,0,0
Ghana,0,0,0
Cameroon,6930,0,6930
Guinea-Bissau,0,0,0
Liberia,0,0,0
Mali,13815,0,13815
Niger,0,0,0
Nigeria,7200,0,7200
Cote d'Ivoire,0,0,0
Senegal,0,0,0
Angola,0,0,0
Central African Republic,6144,0,6144
Chad,0,0,0
Congo (Democratic Republic of the),0,0,0
Congo,0,0,0
Algeria,0,0,0
Egypt,0,0,0
Libya,0,0,0
Morocco,0,0,0
Sudan,0,0,0
Tunisia,0,0,0
Argentina,0,167524,167524
Brazil,0,94168,94168
Bolivia (Plurinational State of),0,0,0
Chile,0,248311,248311
Ecuador,0,0,0
Falkland Islands (Malvinas),0,0,0
Colombia,0,0,0
Guyana,0,0,0
Paraguay,0,0,0
Peru,0,0,0
Uruguay,6822,57174,63996
Venezuela (Bolivarian Republic of),0,0,0
Bahamas,0,0,0
Dominican Republic,0,0,0
Haiti,0,0,0
Costa Rica,0,0,0
El Salvador,0,0,0
Guatemala,0,0,0
Honduras,0,0,0
Mexico,0,0,0
Panama,0,0,0
Greenland,1777,112014,113791
Canada,180509,7692864,7873373
United States of America,2206237,27320376,29526613
Afghanistan,213300,0,213300
Bangladesh,0,0,0
India,0,276338,276338
Iran (Islamic Republic of),0,0,0
Nepal,0,0,0
Pakistan,110494,0,110494
Sri Lanka,0,0,0
United Arab Emirates,2198006,1910977,4108983
Armenia,0,0,0
Azerbaijan,0,0,0
Bahrain,0,0,0
Cyprus,0,0,0
Georgia,0,84008,84008
Iraq,23950,270,24220
Israel,26080,0,26080
Yemen,0,0,0
Jordan,0,0,0
Kuwait,24580,29904,54484
Lebanon,105960,0,105960
Oman,0,0,0
Palestine (State of),15552,0,15552
Qatar,0,0,0
Saudi Arabia,28651253,0,28651253
Syrian Arab Republic,24056,0,24056
Turkey,3555313,94520,3649833
Korea (Republic of),566164,218121,784285
Hong Kong,0,0,0
Japan,0,290019,290019
China,2820,188648,191468
Macao,0,0,0
Mongolia,0,0,0
Taiwan (Province of China),0,0,0
Brunei Darussalam,2214380,0,2214380
Philippines,0,60606,60606
Indonesia,192600,0,192600
Cambodia,0,0,0
Lao People's Democratic Republic,0,0,0
Malaysia,0,0,0
Myanmar,0,0,0
Singapore,358,345861,346219
Thailand,0,0,0
Viet Nam,87600,0,87600
Kazakhstan,1487254,1375939,2863193
Turkmenistan,365543,0,365543
Uzbekistan,0,0,0
Albania,312935,2480,315415
Bosnia and Herzegovina,0,6269,6269
Spain,58740,438446,497186
Italy,352654,2659188,3011842
Kosovo,0,28994,28994
Greece,4700,0,4700
Croatia,56057,14943,71000
Malta,0,0,0
Macedonia (the former Yugoslav Republic of),0,0,0
Montenegro,0,0,0
Portugal,0,44728,44728
Slovenia,11012,91133,102145
Serbia,0,0,0
Bulgaria,3129,18407,21536
Moldova (Republic of),0,0,0
Poland,6502557,1597360,8099917
Romania,576710,37421,614131
Slovakia,12551,235732,248283
Czech Republic,167109,906808,1073917
Hungary,177891,370221,548112
Ukraine,284510,261099,545609
Belarus,0,0,0
Russian Federation,26075,11558,37633
Netherlands,15995,354151,370146
Belgium,339542,260224,599766
Austria,1515,153118,154633
Luxembourg,302038,200783,502821
Monaco,0,0,0
France,1408714,1545756,2954470
Germany,1467023,2857247,4324270
Switzerland,538810,495576,1034386
Ireland,0,0,0
Iceland,3646,87177,90823
Latvia,0,137589,137589
Lithuania,0,397953,397953
Norway,6495490,3146425,9641915
Sweden,3312885,6413268,9726153
Denmark,38454,816423,854877
Estonia,1617645,381765,1999410
United Kingdom of Great Britain and Northern Ireland,1113109,2226126,3339235
Australia,204887,7073387,7278274
New Zealand,94902,1506644,1601546
New Caledonia,0,92251,92251
Kiribati,0,0,0
