id,date,tags,image,title,body
1,"23.10.2017","Euroopan unioni, Sopimus, Ihmisoikeudet, Laiton asekauppa, Sotatuote, Siviiliase, Kaksikäyttötuote, Kidutusväline, Taustat","./imgs/01_big.jpg",Asevarustelun läpinäkyvyys edistää luottamusta",""
2,"23.10.2017","Lähi-itä, 2011, Vienti, Ihmisoikeudet, Aseellinen konflikti, Sotatuote, Siviiliase, Tapaukset","./imgs/placeholder_big.jpg","Bahrainiin tarkkuuskivääreitä arabikevään alla – ilman valtioneuvoston hyväksyntää",""
3,"23.10.2017","Kaakkois-Aasia, 2014, Vienti, Ihmisoikeudet, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Brunein vesillä liikutaan suomalaisilla kellukeveneillä",""
4,"23.10.2017","uut Euroopan maat, 2009, Vienti, Sotatuote, Tapaukset","./imgs/04_big.jpg","Kaasunaamareita Ukrainalle joukkojenhallintaan",""
5,"23.10.2017","Keski-Aasia, 2011, Vienti, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Kazakstan – ylimitoitettua voimankäyttöä tarkkuuskiväärien vientikohteessa",""
6,"23.10.2017","Lähi-itä, 2009, Vienti, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Kranaatinheitinjärjestelmä Arabiemiirikuntien partioveneisiin",""
7,"23.10.2017","Euroopan unioni, Lähi-itä, 2012, Vienti, Ihmisoikeudet, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Kranaatinheittimiä ja ammuksia Saudi-Arabiaan",""
8,"23.10.2017","Väli-Amerikka ja Karibia, 2010, ienti, Ihmisoikeudet, Aseellinen konflikti, Sotatuote, Tapaukset","./imgs/08_big.jpg","Meksikoon vietiin suomalaisia tarkkuuskiväärejä",""
9,"23.10.2017","Sopimus, Ihmisoikeudet, Sotatuote, Siviiliase, Joukkotuhoaseet, Taustat","./imgs/09_big.jpg","Mitä on asevalvonta? Asevalvonta pähkinänkuoressa",""
10,"23.10.2017","Kaakkois-Aasia, Vienti, Ihmisoikeudet, Laiton asekauppa, Aseellinen konflikti, Sotatuote, Siviiliase, Tapaukset","./imgs/placeholder_big.jpg","Miten suomalaiset patruunat päätyivät Diliin",""
11,"23.10.2017","Itä-Aasia, Lähi-itä, 2010, Vienti, Aseellinen konflikti, Sotatuote, Tapaukset","./imgs/11_big.jpg","Osa Irakin sotilasviestijärjestelmä tulee Suomesta",""
12,"23.10.2017","Pohjois-Amerikka, 2008, Vienti, Sotatuote, Siviiliase, Tapaukset","./imgs/placeholder_big.jpg","Panssariajoneuvojen myyntisopimus ja kymmeniä miljoonia käsiaseiden patruunoita Yhdysvaltoihin",""
13,"23.10.2017","Pohjois-Amerikka, 2013, Vienti, Sotatuote, Tapaukset","./imgs/13_big.jpg","Patria pyrkii nousemaan maihin Yhdysvaltain merijalkaväen kanssa",""
14,"23.10.2017","Pohjois-Afrikka, 2009, Vienti, Sotatuote, Tapaukset","./imgs/14_big.jpg","Ruutitehdas Egyptiin",""
15,"23.10.2017","Itä-Aasia, Euroopan unioni, 2008, Vienti, Sopimus, Ihmisoikeudet, Sotatuote, Siviiliase, Kaksikäyttötuote, Tapaukset","./imgs/15_big.jpg","Sotatuotteita ja patruunoita Kiinaan asevientikiellosta huolimatta",""
16,"23.10.2017","Etelä-Aasia, 2008, Vienti, Kaksikäyttötuote, Tapaukset","./imgs/placeholder_big.jpg","Sotilasapua Suomesta Afganistaniin",""
17,"23.10.2017","Vienti, Sopimus, Ihmisoikeudet, Laiton asekauppa, Aseellinen konflikti, Sotatuote, Siviiliase, Taustat","./imgs/placeholder_big.jpg","Suomen asevientiä rajoittavat monet kansainväliset velvoitteet",""
18,"23.10.2017","Vienti, Sopimus, Laiton asekauppa, Sotatuote, Siviiliase, Kaksikäyttötuote, Kidutusväline, Taustat","./imgs/18_big.jpg","Suomen asevientilupajärjestelmä",""
19,"23.10.2017","Pohjois-Afrikka, Euroopan unioni, Lähi-itä, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, Vienti, Sotatuote, Siviiliase, Taustat","./imgs/19_big.jpg","Suomen sotatuote- ja siviiliaseviennin kehitys vuosina 2002–2016",""
20,"23.10.2017","Lähi-itä, 2012, Vienti, Ihmisoikeudet, Sotatuote, Kaksikäyttötuote, Tapaukset","./imgs/placeholder_big.jpg","Suomi jatkoi sotatuotevientiä Bahrainiin väkivaltaisuuksista huolimatta",""
21,"23.10.2017","Kaakkois-Aasia, 2014, Vienti, Ihmisoikeudet, Sotatuote, Tapaukset","./imgs/21_big.jpg","Suomi muutti vientipolitiikkaansa Thaimaan sotilasvallankaappauksen jälkeen",""
22,"23.10.2017","Pohjois-Afrikka, 2011, Vienti, Sopimus, Ihmisoikeudet, Aseellinen konflikti, Sotatuote, Tapaukset","./imgs/22_big.jpg","Suomi sotkettiin Gaddafin pommituksiin",""
23,"23.10.2017","Lähi-itä, 2014, Vienti, Ihmisoikeudet, Aseellinen konflikti, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Suomi varustaa sotaa käyviä Arabimonarkioita",""
24,"23.10.2017","Pohjois-Amerikka, Euroopan unioni, Lähi-itä, 2013, Vienti, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Tamperelainen Robonic vie miehittämättömien lentokoneiden laukaisimia maailmalle",""
25,"23.10.2017","Keski-Aasia, 2015, Vienti, Ihmisoikeudet, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Tarkkuuskiväärejä autoritääriseen Turkmenistaniin",""
26,"23.10.2017","Keski-Aasia, 2012, Vienti, Ihmisoikeudet, Sotatuote, Tapaukset","./imgs/placeholder_big.jpg","Tarkkuuskiväärejä ja ammuksia Kazakstaniin",""
